freq,purchase,unit,geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,DW_EXST,I15_A_AVG,AT,,,,,,77.75,81.97,86.81,91.14,94.53,100.0,105.95,112.33,119.4,126.58,136.29,154.13,172.03,165.02,162.4,166.5
A,DW_EXST,I15_A_AVG,BE,70.28,78.44,85.43,89.69,89.57,92.24,95.47,97.83,98.78,98.81,100.0,102.12,105.58,108.8,113.11,117.91,125.93,132.93,136.08,139.57,144.88
A,DW_EXST,I15_A_AVG,BG,82.95,95.15,122.66,153.27,120.53,108.35,101.78,99.08,97.3,97.76,100.0,107.34,117.77,126.07,132.11,140.01,152.94,176.79,195.51,226.26,263.26
A,DW_EXST,I15_A_AVG,CY,,,,,,108.78,110.53,105.57,100.95,101.63,100.0,99.69,99.66,98.19,99.75,102.4,103.68,108.95,117.1,125.33,134.81
A,DW_EXST,I15_A_AVG,CZ,,,,101.3,96.4,94.9,95.2,93.9,93.9,96.2,100.0,107.3,119.6,129.3,141.3,153.0,183.6,214.0,210.4,220.9,242.3
A,DW_EXST,I15_A_AVG,DE,84.9,84.6,82.2,83.2,83.2,83.9,86.7,89.7,92.8,95.6,100.0,107.6,114.5,122.2,129.8,140.2,157.5,167.0,151.3,148.2,153.0
A,DW_EXST,I15_A_AVG,DK,83.93,104.09,106.52,101.14,88.82,91.43,89.68,87.11,90.19,93.54,100.0,104.59,109.81,114.67,117.23,122.33,136.55,142.92,137.39,142.24,152.97
A,DW_EXST,I15_A_AVG,EA,,,,,,100.81,102.18,100.46,98.32,98.55,100.0,104.08,108.83,114.12,119.11,125.4,135.81,145.44,142.36,144.48,152.13
A,DW_EXST,I15_A_AVG,EA19,,,,,,100.66,102.07,100.35,98.27,98.55,100.0,104.08,108.83,114.12,119.11,125.4,135.81,145.44,142.26,144.27,151.81
A,DW_EXST,I15_A_AVG,EA20,,,,,,100.72,102.11,100.39,98.29,98.57,100.0,104.07,108.82,114.13,119.16,125.48,135.88,145.59,142.58,144.71,152.37
A,DW_EXST,I15_A_AVG,EA21,,,,,,100.8,102.12,100.39,98.29,98.57,100.0,104.09,108.88,114.21,119.25,125.57,135.99,145.79,142.94,145.25,153.07
A,DW_EXST,I15_A_AVG,EE,66.37,105.06,119.07,106.16,65.09,67.25,72.94,77.13,85.89,95.32,100.0,104.35,110.55,115.03,122.76,127.02,148.79,186.63,189.66,202.19,213.74
A,DW_EXST,I15_A_AVG,ES,,154.28,166.86,156.46,142.38,140.68,127.39,108.48,96.65,96.74,100.0,104.32,110.82,118.34,124.0,125.79,130.32,139.8,144.35,156.01,176.22
A,DW_EXST,I15_A_AVG,EU,,,,,,97.68,97.95,96.41,95.42,97.21,100.0,104.87,110.06,115.29,120.27,126.98,138.2,148.75,146.46,150.09,158.6
A,DW_EXST,I15_A_AVG,EU27_2020,,,,,,100.01,100.67,98.72,97.05,97.78,100.0,104.49,109.75,115.28,120.91,127.81,139.11,149.73,147.42,151.08,159.65
A,DW_EXST,I15_A_AVG,EU28,,,,,,97.69,97.96,96.42,95.42,97.21,100.0,104.87,110.06,115.29,120.27,,,,,,
A,DW_EXST,I15_A_AVG,FI,79.28,84.57,89.33,89.93,89.29,96.94,99.5,100.68,101.4,100.45,100.0,101.1,101.76,102.45,102.59,103.99,108.51,108.78,100.65,97.34,94.61
A,DW_EXST,I15_A_AVG,FR,85.54,95.84,102.15,103.0,95.68,100.59,106.57,105.99,103.76,101.88,100.0,100.93,103.98,107.1,110.6,116.76,124.62,132.42,131.52,126.17,126.93
A,DW_EXST,I15_A_AVG,HR,,,,126.09,117.48,111.23,110.09,107.32,102.74,101.44,100.0,101.81,106.42,113.89,124.09,134.6,144.25,164.99,185.85,206.5,235.86
A,DW_EXST,I15_A_AVG,HU,,,99.17,101.52,95.84,94.01,90.79,87.17,84.74,88.28,100.0,113.54,127.02,145.3,170.6,177.29,205.76,251.97,266.89,302.53,362.14
A,DW_EXST,I15_A_AVG,IE,,,,,,104.57,86.59,74.85,76.8,90.16,100.0,107.45,120.22,132.4,134.78,134.4,147.66,167.58,169.55,184.83,200.15
A,DW_EXST,I15_A_AVG,IS,,,,,,,,,,,,109.77,131.2,142.01,148.29,157.79,177.57,214.84,231.57,250.22,263.1
A,DW_EXST,I15_A_AVG,IT,,,,,,126.8,127.3,121.4,110.9,104.7,100.0,100.1,98.9,98.0,97.6,99.4,101.6,105.1,105.5,107.8,112.8
A,DW_EXST,I15_A_AVG,LT,,92.12,123.19,129.65,89.09,85.23,90.28,88.64,90.57,96.76,100.0,106.47,115.58,123.78,132.5,142.72,167.17,197.74,211.26,231.46,256.14
A,DW_EXST,I15_A_AVG,LU,,,78.44,79.61,76.77,81.29,85.2,88.56,91.5,96.19,100.0,106.21,112.32,121.26,134.17,153.83,176.79,192.44,171.09,160.82,163.22
A,DW_EXST,I15_A_AVG,LV,,110.32,152.21,153.09,96.43,84.59,89.69,90.34,97.06,102.2,100.0,108.51,118.17,130.24,141.83,145.4,165.8,189.3,190.76,195.38,211.68
A,DW_EXST,I15_A_AVG,MT,,,,95.71,89.06,85.89,86.01,89.04,92.51,95.27,100.0,106.55,112.58,117.58,123.51,131.58,134.44,142.36,152.02,162.91,173.81
A,DW_EXST,I15_A_AVG,NL,106.44,111.29,115.97,119.45,115.39,112.77,110.03,102.95,96.15,97.05,100.0,105.51,114.06,124.57,133.34,143.85,165.5,187.52,182.18,198.1,215.1
A,DW_EXST,I15_A_AVG,NO,,,,,,75.63,81.7,87.36,90.97,93.41,100.0,108.25,114.35,115.64,118.77,124.17,136.71,143.97,144.03,148.44,156.95
A,DW_EXST,I15_A_AVG,PL,,,,,,107.74,107.3,101.86,98.07,99.35,100.0,102.55,107.13,115.17,127.16,144.68,158.1,176.72,189.59,215.02,223.99
A,DW_EXST,I15_A_AVG,PT,,,,110.0,108.68,109.55,102.3,94.29,92.2,96.19,100.0,108.68,119.98,133.2,146.85,160.18,175.63,200.03,217.44,238.63,283.67
A,DW_EXST,I15_A_AVG,RO,,,,,132.56,122.36,105.49,98.65,98.85,96.72,100.0,106.0,113.73,120.48,125.03,131.2,137.78,144.85,145.68,150.61,161.04
A,DW_EXST,I15_A_AVG,SE,49.2,56.36,64.1,64.39,65.98,71.92,73.26,73.91,78.65,87.02,100.0,108.54,115.78,112.37,114.59,121.16,136.03,138.57,129.4,131.05,133.22
A,DW_EXST,I15_A_AVG,SI,,,120.13,125.85,116.25,118.67,119.46,112.8,106.84,99.44,100.0,103.77,111.89,121.83,131.56,137.85,153.75,177.53,190.45,204.57,216.49
A,DW_EXST,I15_A_AVG,SK,,,,,,93.94,93.03,91.57,92.75,93.98,100.0,106.96,112.77,121.96,135.34,149.64,160.81,180.29,181.01,188.46,212.5
A,DW_EXST,I15_A_AVG,TR,,,,,,57.15,62.06,68.76,76.62,86.23,100.0,112.68,125.09,135.19,140.78,173.86,235.87,585.72,1180.88,1666.27,
A,DW_EXST,I15_A_AVG,UK,78.56,84.86,93.46,89.17,81.34,86.3,84.79,85.17,87.33,94.34,100.0,106.81,111.63,115.12,116.28,,,,,,
A,DW_EXST,I25_A_AVG,AT,,,,,,46.69,49.23,52.14,54.74,56.77,60.06,63.63,67.47,71.71,76.03,81.85,92.57,103.32,99.11,97.54,100.0
A,DW_EXST,I25_A_AVG,BE,48.51,54.14,58.97,61.91,61.82,63.67,65.9,67.53,68.18,68.2,69.03,70.48,72.87,75.09,78.07,81.39,86.92,91.76,93.93,96.33,100.0
A,DW_EXST,I25_A_AVG,BG,31.51,36.14,46.59,58.22,45.78,41.16,38.66,37.64,36.96,37.14,37.99,40.78,44.74,47.89,50.18,53.18,58.1,67.16,74.27,85.95,100.0
A,DW_EXST,I25_A_AVG,CY,,,,,,80.69,81.99,78.31,74.88,75.39,74.18,73.95,73.92,72.84,74.0,75.97,76.91,80.82,86.87,92.97,100.0
A,DW_EXST,I25_A_AVG,CZ,,,,41.8,39.8,39.2,39.3,38.8,38.8,39.7,41.3,44.3,49.4,53.4,58.3,63.1,75.8,88.3,86.9,91.2,100.0
A,DW_EXST,I25_A_AVG,DE,55.4,55.3,53.7,54.3,54.4,54.9,56.7,58.6,60.6,62.4,65.4,70.3,74.8,79.8,84.8,91.6,102.9,109.1,98.9,96.9,100.0
A,DW_EXST,I25_A_AVG,DK,54.87,68.05,69.64,66.12,58.07,59.77,58.63,56.95,58.96,61.15,65.38,68.38,71.79,74.97,76.64,79.97,89.27,93.43,89.82,92.99,100.0
A,DW_EXST,I25_A_AVG,EA,,,,,,66.27,67.17,66.04,64.63,64.78,65.74,68.42,71.54,75.02,78.3,82.43,89.27,95.61,93.58,94.97,100.0
A,DW_EXST,I25_A_AVG,EA19,,,,,,66.31,67.23,66.11,64.74,64.92,65.88,68.56,71.69,75.18,78.46,82.61,89.46,95.81,93.72,95.04,100.0
A,DW_EXST,I25_A_AVG,EA20,,,,,,66.1,67.02,65.89,64.52,64.69,65.63,68.3,71.42,74.91,78.21,82.36,89.18,95.55,93.58,94.97,100.0
A,DW_EXST,I25_A_AVG,EA21,,,,,,65.86,66.71,65.58,64.21,64.39,65.33,68.0,71.13,74.61,77.9,82.04,88.84,95.24,93.38,94.89,100.0
A,DW_EXST,I25_A_AVG,EE,31.05,49.16,55.71,49.67,30.45,31.46,34.12,36.09,40.19,44.6,46.79,48.83,51.72,53.82,57.44,59.43,69.61,87.31,88.74,94.6,100.0
A,DW_EXST,I25_A_AVG,ES,,87.56,94.69,88.79,80.8,79.83,72.29,61.56,54.85,54.9,56.75,59.2,62.89,67.16,70.37,71.39,73.96,79.33,81.92,88.53,100.0
A,DW_EXST,I25_A_AVG,EU,,,,,,61.59,61.76,60.79,60.16,61.29,63.05,66.12,69.39,72.69,75.83,80.07,87.14,93.79,92.34,94.63,100.0
A,DW_EXST,I25_A_AVG,EU27_2020,,,,,,62.65,63.06,61.84,60.79,61.25,62.64,65.45,68.74,72.21,75.74,80.07,87.14,93.79,92.34,94.63,100.0
A,DW_EXST,I25_A_AVG,EU28,,,,,,100.91,101.19,99.6,98.56,100.41,103.29,108.32,113.68,119.09,124.23,,,,,,
A,DW_EXST,I25_A_AVG,FI,83.79,89.39,94.42,95.05,94.38,102.46,105.17,106.42,107.18,106.18,105.7,106.87,107.56,108.29,108.43,109.91,114.69,114.98,106.39,102.88,100.0
A,DW_EXST,I25_A_AVG,FR,67.4,75.51,80.48,81.15,75.38,79.25,83.96,83.5,81.75,80.27,78.78,79.52,81.92,84.38,87.14,91.99,98.18,104.33,103.62,99.41,100.0
A,DW_EXST,I25_A_AVG,HR,,,,53.46,49.81,47.16,46.68,45.5,43.56,43.01,42.4,43.17,45.12,48.29,52.61,57.07,61.16,69.96,78.8,87.55,100.0
A,DW_EXST,I25_A_AVG,HU,,,27.38,28.03,26.46,25.96,25.07,24.07,23.4,24.38,27.61,31.35,35.08,40.12,47.11,48.95,56.82,69.58,73.7,83.54,100.0
A,DW_EXST,I25_A_AVG,IE,,,,,,52.25,43.26,37.4,38.37,45.05,49.97,53.69,60.07,66.15,67.34,67.15,73.77,83.73,84.72,92.34,100.0
A,DW_EXST,I25_A_AVG,IS,,,,,,,,,,,,41.72,49.87,53.98,56.36,59.98,67.49,81.66,88.02,95.1,100.0
A,DW_EXST,I25_A_AVG,IT,,,,,,112.4,112.9,107.6,98.3,92.8,88.7,88.8,87.7,86.9,86.5,88.1,90.1,93.1,93.5,95.5,100.0
A,DW_EXST,I25_A_AVG,LT,,35.97,48.1,50.62,34.78,33.28,35.25,34.61,35.36,37.78,39.04,41.57,45.13,48.33,51.73,55.72,65.27,77.2,82.48,90.37,100.0
A,DW_EXST,I25_A_AVG,LU,,,48.06,48.78,47.03,49.8,52.2,54.26,56.06,58.93,61.27,65.08,68.82,74.29,82.2,94.25,108.32,117.9,104.82,98.53,100.0
A,DW_EXST,I25_A_AVG,LV,,52.12,71.91,72.32,45.56,39.96,42.37,42.68,45.85,48.28,47.24,51.26,55.83,61.53,67.0,68.69,78.33,89.43,90.12,92.3,100.0
A,DW_EXST,I25_A_AVG,MT,,,,55.06,51.24,49.42,49.48,51.23,53.23,54.82,57.54,61.3,64.77,67.65,71.06,75.7,77.35,81.9,87.46,93.73,100.0
A,DW_EXST,I25_A_AVG,NL,49.48,51.74,53.91,55.54,53.65,52.43,51.16,47.86,44.7,45.12,46.49,49.05,53.03,57.92,61.99,66.88,76.94,87.18,84.69,92.1,100.0
A,DW_EXST,I25_A_AVG,NO,,,,,,48.19,52.05,55.66,57.96,59.52,63.72,68.98,72.86,73.68,75.68,79.12,87.1,91.73,91.77,94.58,100.0
A,DW_EXST,I25_A_AVG,PL,,,,,,48.1,47.9,45.48,43.78,44.36,44.65,45.78,47.83,51.42,56.77,64.59,70.59,78.9,84.64,96.0,100.0
A,DW_EXST,I25_A_AVG,PT,,,,38.78,38.31,38.62,36.06,33.24,32.5,33.91,35.25,38.31,42.3,46.96,51.77,56.47,61.92,70.51,76.65,84.12,100.0
A,DW_EXST,I25_A_AVG,RO,,,,,82.31,75.98,65.5,61.26,61.38,60.06,62.1,65.83,70.62,74.81,77.64,81.47,85.55,89.95,90.46,93.52,100.0
A,DW_EXST,I25_A_AVG,SE,36.94,42.31,48.12,48.34,49.53,53.98,55.0,55.48,59.04,65.32,75.07,81.48,86.92,84.35,86.02,90.95,102.11,104.02,97.14,98.37,100.0
A,DW_EXST,I25_A_AVG,SI,,,55.49,58.13,53.7,54.82,55.18,52.11,49.35,45.94,46.19,47.94,51.69,56.28,60.77,63.68,71.02,82.0,87.97,94.5,100.0
A,DW_EXST,I25_A_AVG,SK,,,,,,44.21,43.78,43.1,43.65,44.23,47.06,50.33,53.07,57.39,63.69,70.42,75.68,84.84,85.18,88.69,100.0
A,DW_EXST,I25_A_AVG,TR,,,,,,2.61,2.83,3.13,3.49,3.93,4.56,5.14,5.7,6.16,6.42,7.92,10.75,26.69,53.81,75.93,
A,DW_EXST,I25_A_AVG,UK,78.56,84.86,93.46,89.17,81.34,86.3,84.79,85.17,87.33,94.34,100.0,106.81,111.63,115.12,116.28,,,,,,
A,DW_EXST,RCH_A_AVG,AT,,,,,,,5.4,5.9,5.0,3.7,5.8,5.9,6.0,6.3,6.0,7.7,13.1,11.6,-4.1,-1.6,2.5
A,DW_EXST,RCH_A_AVG,BE,,11.6,8.9,5.0,-0.1,3.0,3.5,2.5,1.0,0.0,1.2,2.1,3.4,3.0,4.0,4.2,6.8,5.6,2.4,2.6,3.8
A,DW_EXST,RCH_A_AVG,BG,,14.7,28.9,25.0,-21.4,-10.1,-6.1,-2.7,-1.8,0.5,2.3,7.3,9.7,7.1,4.8,6.0,9.2,15.6,10.6,15.7,16.3
A,DW_EXST,RCH_A_AVG,CY,,,,,,,1.6,-4.5,-4.4,0.7,-1.6,-0.3,0.0,-1.5,1.6,2.7,1.2,5.1,7.5,7.0,7.6
A,DW_EXST,RCH_A_AVG,CZ,,,,,-4.8,-1.6,0.3,-1.3,0.0,2.5,3.9,7.3,11.5,8.2,9.2,8.3,20.1,16.5,-1.6,4.9,9.7
A,DW_EXST,RCH_A_AVG,DE,,-0.3,-2.8,1.1,0.1,0.8,3.3,3.5,3.4,3.0,4.7,7.5,6.5,6.7,6.2,8.1,12.3,6.0,-9.4,-2.0,3.2
A,DW_EXST,RCH_A_AVG,DK,,24.0,2.3,-5.1,-12.2,2.9,-1.9,-2.9,3.5,3.7,6.9,4.6,5.0,4.4,2.2,4.3,11.6,4.7,-3.9,3.5,7.5
A,DW_EXST,RCH_A_AVG,EA,,,,,,,1.4,-1.7,-2.1,0.2,1.5,4.1,4.6,4.9,4.4,5.3,8.3,7.1,-2.1,1.5,5.3
A,DW_EXST,RCH_A_AVG,EA19,,,,,,,1.4,-1.7,-2.1,0.3,1.5,4.1,4.6,4.9,4.4,5.3,8.3,7.1,-2.2,1.4,5.2
A,DW_EXST,RCH_A_AVG,EA20,,,,,,,1.4,-1.7,-2.1,0.3,1.5,4.1,4.6,4.9,4.4,5.3,8.3,7.1,-2.1,1.5,5.3
A,DW_EXST,RCH_A_AVG,EA21,,,,,,,1.3,-1.7,-2.1,0.3,1.5,4.1,4.6,4.9,4.4,5.3,8.3,7.2,-2.0,1.6,5.4
A,DW_EXST,RCH_A_AVG,EE,,58.3,13.3,-10.8,-38.7,3.3,8.5,5.8,11.4,11.0,4.9,4.4,5.9,4.0,6.7,3.5,17.1,25.4,1.6,6.6,5.7
A,DW_EXST,RCH_A_AVG,ES,,,8.1,-6.2,-9.0,-1.2,-9.4,-14.8,-10.9,0.1,3.4,4.3,6.2,6.8,4.8,1.4,3.6,7.3,3.3,8.1,13.0
A,DW_EXST,RCH_A_AVG,EU,,,,,,,0.3,-1.6,-1.0,1.9,2.9,4.9,4.9,4.8,4.3,5.6,8.8,7.6,-1.5,2.5,5.7
A,DW_EXST,RCH_A_AVG,EU27_2020,,,,,,,0.7,-1.9,-1.7,0.7,2.3,4.5,5.0,5.0,4.9,5.7,8.8,7.6,-1.5,2.5,5.7
A,DW_EXST,RCH_A_AVG,EU28,,,,,,,0.3,-1.6,-1.0,1.9,2.9,4.9,5.0,4.8,4.3,,,,,,
A,DW_EXST,RCH_A_AVG,FI,,6.7,5.6,0.7,-0.7,8.6,2.6,1.2,0.7,-0.9,-0.4,1.1,0.6,0.7,0.1,1.4,4.3,0.3,-7.5,-3.3,-2.8
A,DW_EXST,RCH_A_AVG,FR,,12.0,6.6,0.8,-7.1,5.1,5.9,-0.5,-2.1,-1.8,-1.8,0.9,3.0,3.0,3.3,5.6,6.7,6.3,-0.7,-4.1,0.6
A,DW_EXST,RCH_A_AVG,HR,,,,,-6.8,-5.3,-1.0,-2.5,-4.3,-1.3,-1.4,1.8,4.5,7.0,9.0,8.5,7.2,14.4,12.6,11.1,14.2
A,DW_EXST,RCH_A_AVG,HU,,,,2.4,-5.6,-1.9,-3.4,-4.0,-2.8,4.2,13.3,13.5,11.9,14.4,17.4,3.9,16.1,22.5,5.9,13.4,19.7
A,DW_EXST,RCH_A_AVG,IE,,,,,,,-17.2,-13.6,2.6,17.4,10.9,7.5,11.9,10.1,1.8,-0.3,9.9,13.5,1.2,9.0,8.3
A,DW_EXST,RCH_A_AVG,IS,,,,,,,,,,,,,19.5,8.2,4.4,6.4,12.5,21.0,7.8,8.0,5.1
A,DW_EXST,RCH_A_AVG,IT,,,,,,,0.4,-4.6,-8.7,-5.5,-4.5,0.1,-1.2,-1.0,-0.4,1.9,2.2,3.4,0.4,2.2,4.7
A,DW_EXST,RCH_A_AVG,LT,,,33.7,5.2,-31.3,-4.3,5.9,-1.8,2.2,6.8,3.3,6.5,8.6,7.1,7.0,7.7,17.1,18.3,6.8,9.6,10.7
A,DW_EXST,RCH_A_AVG,LU,,,,1.5,-3.6,5.9,4.8,3.9,3.3,5.1,4.0,6.2,5.7,8.0,10.7,14.7,14.9,8.8,-11.1,-6.0,1.5
A,DW_EXST,RCH_A_AVG,LV,,,38.0,0.6,-37.0,-12.3,6.0,0.7,7.4,5.3,-2.1,8.5,8.9,10.2,8.9,2.5,14.0,14.2,0.8,2.4,8.3
A,DW_EXST,RCH_A_AVG,MT,,,,,-6.9,-3.6,0.1,3.5,3.9,3.0,5.0,6.5,5.7,4.4,5.0,6.5,2.2,5.9,6.8,7.2,6.7
A,DW_EXST,RCH_A_AVG,NL,,4.6,4.2,3.0,-3.4,-2.3,-2.4,-6.4,-6.6,0.9,3.0,5.5,8.1,9.2,7.0,7.9,15.1,13.3,-2.9,8.7,8.6
A,DW_EXST,RCH_A_AVG,NO,,,,,,,8.0,6.9,4.1,2.7,7.1,8.3,5.6,1.1,2.7,4.5,10.1,5.3,0.0,3.1,5.7
A,DW_EXST,RCH_A_AVG,PL,,,,,,,-0.4,-5.1,-3.7,1.3,0.7,2.5,4.5,7.5,10.4,13.8,9.3,11.8,7.3,13.4,4.2
A,DW_EXST,RCH_A_AVG,PT,,,,,-1.2,0.8,-6.6,-7.8,-2.2,4.3,4.0,8.7,10.4,11.0,10.2,9.1,9.6,13.9,8.7,9.7,18.9
A,DW_EXST,RCH_A_AVG,RO,,,,,,-7.7,-13.8,-6.5,0.2,-2.2,3.4,6.0,7.3,5.9,3.8,4.9,5.0,5.1,0.6,3.4,6.9
A,DW_EXST,RCH_A_AVG,SE,,14.6,13.7,0.5,2.5,9.0,1.9,0.9,6.4,10.6,14.9,8.5,6.7,-2.9,2.0,5.7,12.3,1.9,-6.6,1.3,1.7
A,DW_EXST,RCH_A_AVG,SI,,,,4.8,-7.6,2.1,0.7,-5.6,-5.3,-6.9,0.6,3.8,7.8,8.9,8.0,4.8,11.5,15.5,7.3,7.4,5.8
A,DW_EXST,RCH_A_AVG,SK,,,,,,,-1.0,-1.6,1.3,1.3,6.4,7.0,5.4,8.1,11.0,10.6,7.5,12.1,0.4,4.1,12.8
A,DW_EXST,RCH_A_AVG,TR,,,,,,,8.4,10.9,11.4,12.6,16.0,12.7,11.0,8.1,4.1,23.5,35.7,148.3,101.6,41.1,
A,DW_EXST,RCH_A_AVG,UK,,8.0,10.1,-4.6,-8.8,6.1,-1.7,0.5,2.5,8.0,6.0,6.8,4.5,3.1,1.0,,,,,,
